Cidade,Data,Dia,Período,Horário,Atividade,Tipo,Duração,Preço (CAD ou USD),Reserva Necessária?,Notas / Dicas
,,,,,VOOS,,,,, 
Toronto,13/08 (Qui),Pré-viagem,Noite,21:35 → 06:40,Voo GRU → YYZ (Air Canada AC91),Voo,10h,Incluso,Não,Boeing 787-9 · Direto · Chega em 14/08
,,,,,,,,,, 
Toronto,14/08 (Sex),Chegada,Manhã,06:40 → 09:00,Chegada Aeroporto Pearson (YYZ),Chegada,2h30,UP Express $12 CAD/pessoa,Não,SIM Card: Koodo ou Freedom Mobile no aeroporto · UP Express até Union Station em 25min
Toronto,14/08 (Sex),Chegada,Manhã,09:00 → 10:00,Tim Hortons — Primeiro café canadense,Café,30-60min,~$8-12 CAD (casal),Não,"Peça: Double Double (café 2 cremes 2 açúcares) + Timbits (mix de sabores)"
Toronto,14/08 (Sex),Chegada,Tarde/Noite,15:00 → 19:00,Dundas Square — Ambientação,Urbano,2-3h,Gratuito,Não,Jantar ao redor · Dorme cedo — jet lag de 10h de voo
,,,,,,,,,, 
Toronto,15/08 (Sáb),Dia Cheio,Manhã,09:30 → 12:00,Kensington Market,Bairro / Cultura,2h30,Gratuito,Não,"Bairro boêmio multicultural · Chegar cedo no sábado · Street food de vários países"
Toronto,15/08 (Sáb),Dia Cheio,Almoço,12:30 → 14:30,Bellwoods Brewery,Cervejaria / Almoço,1h30-2h,~$40-60 CAD (casal),Não,"124 Ossington Ave · Sem reserva · Chegue logo que abrir (12h) sábados"
Toronto,15/08 (Sáb),Dia Cheio,Tarde,15:00 → 16:30,CN Tower,Mirante,1h30,~$43 CAD/pessoa,Sim — online recomendado,"Compre online · Combo com Ripley's mais barato · Glass Floor vale pisar"
Toronto,15/08 (Sáb),Dia Cheio,Tarde,17:00 → 18:30,Ripley's Aquarium of Canada,Aquário,1h30,~$42 CAD/pessoa,Sim — online recomendado,"Próximo ao CN Tower · Dangerous Lagoon (túnel com tubarões) é o destaque · Aberto até 23h"
Toronto,15/08 (Sáb),Dia Cheio,Noite,19:30 → 21:00,Toronto Island & City Cruises,Passeio de barco,1h30,Ferry $9 CAD + Cruzeiro ~$30 CAD,Não,"Jack Layton Ferry Terminal · Pôr do sol às ~20h30 · Leve casaco leve"
,,,,,,,,,, 
Toronto,16/08 (Dom),Bate-Volta Niágara,Manhã,09:00 → 10:00,Cataratas do Niágara — Table Rock,Natureza,1h,Gratuito (área pública),Não,"Chegar cedo — agosto altíssima temporada · Table Rock: à beira da queda · Vista americana diferente"
Toronto,16/08 (Dom),Bate-Volta Niágara,Manhã,10:00 → 11:30,Niagara City Cruises,Cruzeiro,1h30,~$32 CAD/pessoa,Sim — online obrigatório,"Câmera em saquinho plástico · Convés superior na proa · Fila enorme sem reserva"
Toronto,16/08 (Dom),Bate-Volta Niágara,Manhã,11:30 → 12:30,Journey Behind the Falls,Atração,1h,~$20 CAD/pessoa,Não,Fica molhado mesmo com a capa · Portal (abertura na rocha) muito fotogênica
Toronto,16/08 (Dom),Bate-Volta Niágara,Tarde,13:00 → 15:00,Skylon Tower + Almoço + Maple Syrup,Mirante / Gastronomia,2h,~$20 CAD/pessoa (deck),Não,"Deck de observação · Compre maple syrup em loja local (não aeroporto) · Retorno a Toronto às 16h"
,,,,,,,,,, 
Toronto,17/08 (Seg),Último Dia,Manhã,09:00 → 11:30,⚠️ Distillery District (SUBSTITUIÇÃO — St. Lawrence fechado 2ª),Histórico / Fotográfico,2h30,Gratuito,Não,"Balzac's Coffee no bairro · Tijolo e pedra vitorianos · Galerias abrem às 10h · ST LAWRENCE MARKET FECHADO ÀS SEGUNDAS"
Toronto,17/08 (Seg),Último Dia,Manhã,11:30 → 13:00,Centro Financeiro & TD Bank Tower (CANO),Urbano / Arquitetura,1h30,Gratuito,Não,"PATH (rede subterrânea de 30km) · TD Centre: Mies van der Rohe · Almoço no food court do PATH"
Toronto,17/08 (Seg),Último Dia,Tarde,14:00 → 17:30,Distrito da Moda de Toronto,Compras,2-3h,Gratuito,Não,"King Street West / Spadina · Marcas canadenses: Aritzia, Roots, Arc'teryx · Cafés: Early Bird"
Toronto,17/08 (Seg),Último Dia,Jantar,19:30 → 22:00,Jacobs & Co. Steakhouse — Jantar Especial,Jantar Fine Dining,2h30,~$300-400 CAD (casal),SIM — OBRIGATÓRIA com antecedência,"Dry-aged Wagyu e cortes especiais · jacobssteakhouse.com · Smart casual dress code"
,,,,,,,,,, 
,,,,,MONTREAL,,,,, 
Montreal,18/08 (Ter),Chegada,Dia,10:38 → 18:00,Trem Via Rail Toronto → Montreal,Transfer,5h20 de trem,Incluso,Não,Gare Centrale de Montréal · Metro ou táxi até hotel · Mesma timezone de Toronto
Montreal,18/08 (Ter),Chegada,Noite,18:00 → 21:00,Check-in & Primeira Noite em Montréal,Chegada,—,—,Não,"Jantar simples perto do hotel · Caminhada no Vieux-Montréal à noite · Metro: bilhete $3.75 CAD"
,,,,,,,,,, 
Montreal,19/08 (Qua),Dia Completo,Manhã,09:00 → 10:30,Basílica de Notre-Dame & Place d'Armes,Basílica,1h30,~$15 CAD/pessoa (AURA noturno ~$30),Sim — online recomendado,"Interior azul e dourado deslumbrante · AURA (espetáculo de luzes noturno) — altamente recomendado · Roupas respeitosas"
Montreal,19/08 (Qua),Dia Completo,Manhã,10:30 → 13:00,Rue Saint-Paul & Marché Bonsecours,Rua Histórica,2h30,Gratuito,Não,"Rua mais antiga de Montréal (1642) · Marché Bonsecours: cúpula prateada, artesanato quebequense · Almoço na área"
Montreal,19/08 (Qua),Dia Completo,Tarde,14:30 → 16:30,Vieux-Port & La Grande Roue,Porto / Mirante,2h,La Grande Roue ~$25 CAD/pessoa,Não,"Roda gigante de 60m com cabines climatizadas · Vista da Old Montreal e do St-Laurent · Orla gratuita"
Montreal,19/08 (Qua),Dia Completo,Jantar,19:30 → 22:00,Joe Beef — Restaurante Icônico,Jantar Fine Dining,2h30,~$100-150 CAD/pessoa,SIM — SEMANAS OU MESES ANTES,"Favorito de Anthony Bourdain · joebeef.ca · Lista de vinhos naturais excepcional · Little Burgundy"
,,,,,,,,,, 
Montreal,20/08 (Qui),Dia Completo,Manhã,08:30 → 10:30,Parc du Mont-Royal & Belvédère Kondiaronk,Parque / Mirante,2h,Gratuito,Não,"Desenhado por Frederick Law Olmsted (mesmo do Central Park) · Chegar cedo · Subida a pé 40min ou Uber"
Montreal,20/08 (Qui),Dia Completo,Manhã,10:30 → 12:00,Oratório de Saint Joseph,Basílica,1h30,Gratuito (doação),Não,"Maior basílica do Canadá · 2ª maior cúpula do hemisfério ocidental · Vista das escadarias"
Montreal,20/08 (Qui),Dia Completo,Tarde,14:00 → 16:30,Rue Sainte-Catherine & RÉSO (Cidade Subterrânea),Urbano / Compras,2h30,Gratuito,Não,"RÉSO: 33km de galerias subterrâneas · Entre pelo Metro McGill ou Peel · Mapas grátis nas estações"
Montreal,20/08 (Qui),Dia Completo,Tarde/Noite,17:00 → 21:00,Plateau Mont-Royal & Poutine (La Banquise),Bairro / Gastronomia,3-4h,Poutine ~$15-20 CAD,Não,"La Banquise (994 Rue Rachel Est): 30+ variações · Schwartz's Deli: smoked meat desde 1928 · Casas coloridas fotogênicas"
,,,,,,,,,, 
Montreal,21/08 (Sex),Dia Completo,Manhã,09:00 → 11:00,Mile End — Bagels & Cultura,Bairro / Gastronomia,2h,~$20 CAD (casal),Não,"Fairmount Bagel (74 Ave Fairmount O) vs St-Viateur (263 Ave St-Viateur O) · Café Olimpico · Murais urbanos"
Montreal,21/08 (Sex),Dia Completo,Manhã,11:00 → 13:00,Mercado Jean-Talon,Mercado,2h,Gratuito,Não,"Maior mercado ao ar livre do Canadá · Maple syrup · Queijo Oka · Little Italy · Traga sacolas!"
Montreal,21/08 (Sex),Dia Completo,Tarde,13:30 → 16:30,Biodôme + Jardim Botânico (Espace pour la Vie),Ciência / Natureza,3h,~$22 CAD/pessoa (Biodôme),Não,"5 ecossistemas das Américas · Pinguins sub-antárticos · Combo com Botânico mais econômico"
Montreal,21/08 (Sex),Dia Completo,Tarde,17:30 → 19:30,Parc Jean-Drapeau & Biosfera,Parque / Museu,2h,Metro $3.75 + Biosfera ~$22 CAD,Não,"Metro Jean-Drapeau (linha amarela) · Domo geodésico de Buckminster Fuller · Circuito de F1 · Vista das pontes"
,,,,,,,,,, 
Montreal,22/08 (Sáb),⭐ DIA EXTRA,Manhã,09:00 → 11:00,Marché Atwater,Mercado,2h,Gratuito,Não,"DIA NÃO PREVISTO NO ROTEIRO ORIGINAL · Mercado art déco 1933 · Sábados: produtores locais · Fromagerie Atwater"
Montreal,22/08 (Sáb),⭐ DIA EXTRA,Manhã,11:00 → 14:00,Canal de Lachine — Ciclovia,Ciclovia / Lazer,2h30,Bike ~$25-35 CAD/pessoa,Não,"14km de canal histórico · Aluguel: Ça Roule Montréal (frente ao Atwater) · Pontue no Vieux-Port"
Montreal,22/08 (Sáb),⭐ DIA EXTRA,Tarde,14:00 → 19:00,La Ronde (Parque de Diversões — Six Flags),Diversão,4-5h,~$50 CAD/pessoa,Sim — online recomendado,"Parque na Île Sainte-Hélène · Fogos de artifício aos sábados de agosto às 22h"
Montreal,22/08 (Sáb),⭐ DIA EXTRA,Noite,19:00 → 21:00,Jantar de Despedida de Montréal,Jantar,1h30,~$60-100 CAD (casal),Não,"L'Express (3927 Rue Saint-Denis): bistrô clássico sem reserva · VÔEM AMANHÃ ÀS 08:30 — dormam cedo!"
,,,,,,,,,, 
,,,,,VANCOUVER,,,,, 
Vancouver,23/08 (Dom),Chegada,Manhã,08:30 → 10:30,Voo YUL → YVR (Air Canada Business),Voo,5h,Incluso,Não,"Business Class · Direto · Chegada em Vancouver (UTC-7 = 3h a menos que Montreal)"
Vancouver,23/08 (Dom),Chegada,Tarde,13:00 → 15:30,Granville Island Public Market,Mercado,2h,Gratuito,Não,"Primeiro contato com Vancouver · Oyama Sausage, Lee's Donuts, Go Fish · Aquabus sai daqui"
Vancouver,23/08 (Dom),Chegada,Tarde,16:00 → 17:30,Gastown & Steam Clock,Histórico,1h30,Gratuito,Não,"Relógio a vapor: vai nos :00, :15, :30, :45 · Blood Alley fotogênico · Bairro mais antigo de Vancouver"
Vancouver,23/08 (Dom),Chegada,Tarde,18:00 → 19:30,Coal Harbour & Canada Place,Beira-Mar,1h30,Gratuito,Não,"Pôr do sol: ~20h30 · Hidroaviões decolando · FlyOver Canada fica no Canada Place"
Vancouver,23/08 (Dom),Chegada,Jantar,20:00 → 22:00,Miku Vancouver — Sushi Aburi,Jantar Fine Dining,2h,~$80-120 CAD/pessoa,SIM — OBRIGATÓRIA semanas antes,"mikurestaurant.com · Aburi Oshi: prato-símbolo · Vista para Coal Harbour · Cheguem antes para o bar"
,,,,,,,,,, 
Vancouver,24/08 (Seg),Dia Completo,Manhã,08:00 → 11:30,Stanley Park & Seawall (de bicicleta),Parque / Bicicleta,3h30,Bike ~$60-80 CAD (casal 2h),Não,"405 hectares · Seawall 9km · Totens no Brockton Point · Prospect Point (Lions Gate Bridge) · Aluguel próximo ao Coal Harbour"
Vancouver,24/08 (Seg),Dia Completo,Manhã,11:30 → 13:30,Vancouver Aquarium,Aquário,2h,~$42 CAD/pessoa,Sim — online recomendado,"Dentro do Stanley Park · Lontras, baleias beluga · Jellyfish gallery muito fotogênica"
Vancouver,24/08 (Seg),Dia Completo,Tarde,16:00 → 18:00,Brassneck Brewery,Cervejaria,1h30,~$20-30 CAD/pessoa,Não,"2148 Main St · Cervejas experimentais e sazonais · Peça tasting flight · Não serve comida própria"
Vancouver,24/08 (Seg),Dia Completo,Noite,18:30 → 21:00,Robson Street & English Bay Beach,Compras / Beira-Mar,2h30,Gratuito,Não,"Jantar na Robson (Kintaro Ramen) · English Bay: pôr do sol às ~20h30 · MEC: loja outdoor canadense"
,,,,,,,,,, 
Vancouver,25/08 (Ter),Aventura,Manhã,08:30 → 11:00,Capilano Suspension Bridge,Natureza / Aventura,2h,~$68 CAD/pessoa,Sim — online recomendado,"CHEGUE CEDO — abertura 8h, multidão às 10h · Shuttle gratuito do Canada Place · Treetops Adventure incluso"
Vancouver,25/08 (Ter),Aventura,Manhã (opcional),Após Capilano,Lynn Canyon Park (alternativa gratuita),Parque / Trilha,1h30,Gratuito,Não,"15min da Capilano · 30 Foot Pool: mergulho no verão · Trilha Twin Falls (30min)"
Vancouver,25/08 (Ter),Aventura,Tarde,12:00 → 18:00,Whistler — Day Trip (Opção Principal),Excursão,6h ida e volta,Gondola ~$80 CAD/pessoa,Sim — online para gondola,"Sea-to-Sky Hwy: pare em Shannon Falls e Squamish · Peak 2 Peak Gondola: maior do mundo · Whistler Village para almoço"
Vancouver,25/08 (Ter),Aventura,Alternativa,Tarde,Grouse Mountain (alternativa ao Whistler),Montanha / Teleférico,3-4h,~$65 CAD/pessoa,Não,"Skyride: 1.100m com vista de Vancouver · Ônibus 236 do centro · Ursos grizzly no topo"
,,,,,,,,,, 
Vancouver,26/08 (Qua),Último Dia,Manhã,09:00 → 10:30,FlyOver Canada,Simulador Imersivo,1h,~$55-68 CAD/pessoa,Não (compre online),"No Canada Place · Não recomendado para enjoo fácil · Sobrevoam o Canadá em 4D"
Vancouver,26/08 (Qua),Último Dia,Manhã,11:00 → 13:30,Museu de Antropologia da UBC,Museu,2h,~$20 CAD/pessoa,Não,"Great Hall com totens de 12m · Arthur Erickson arquiteto · Vista do Pacífico no campus da UBC"
Vancouver,26/08 (Qua),Último Dia,Tarde,14:00 → 17:00,Kitsilano Beach,Praia / Lazer,2-3h,Gratuito,Não,"Kits Pool: maior piscina de água salgada ao ar livre do Canadá · Vista para as montanhas"
Vancouver,26/08 (Qua),Último Dia,Jantar,19:00 → 21:30,Jantar Final em Vancouver,Jantar,2h,~$80-150 CAD (casal),Sim recomendado,"L'Abattoir (Gastown): excelente custo-benefício · The Botanist (Fairmont): luxo com vista porto · Voo às 23:45"
Vancouver,26/08 (Qua),Último Dia,Noite,21:00 →,Transfer para Aeroporto YVR,Transfer,—,Canada Line (metro) $4 CAD ou Taxi ~$35 CAD,Não,Canada Line: 25min do centro · Aeroporto: recomendado às 21h para voo 23:45
,,,,,,,,,, 
,,,,,CHICAGO,,,,, 
Chicago,27/08 (Qui) noite,Voo Noturno,Noite,23:45 → 05:54,Voo YVR → ORD (AA1305 Business),Voo,4h,Incluso,Não,"Airbus A321 · Business Class · 4 malas · Chicago: UTC-5 (2h a menos que Vancouver)"
,,,,,,,,,, 
Chicago,28/08 (Sex),Primeiro Dia,Manhã,05:54 → 11:00,Chegada ORD + Transfer + Café da manhã + Descanso,Chegada,5h,—,Não,Check-in antecipado se possível · Café da manhã no hotel ou próximo
Chicago,28/08 (Sex),Primeiro Dia,Manhã,11:00 → 13:00,Millennium Park — The Bean (Cloud Gate),Urbano / Arte,2h,Gratuito,Não,"The Bean: chegue cedo para fotos · Crown Fountain · Pritzker Pavilion (shows gratuitos verão)"
Chicago,28/08 (Sex),Primeiro Dia,Tarde,13:30 → 16:30,Art Institute of Chicago,Museu,2-3h,~$35 USD/pessoa,Não (compre online),"Seurat, Monet, Picasso · 'Um Domingo de Tarde na Grande Jatte' · Audio guide grátis no app"
Chicago,28/08 (Sex),Primeiro Dia,Tarde,17:00 → 19:00,Chicago Riverwalk,Urbano / Lazer,2h,Gratuito,Não,"Billy Goat Tavern histórico · Chicago Architecture Center · Passeios de barco partem daqui"
Chicago,28/08 (Sex),Primeiro Dia,Jantar,19:30 → 21:00,Deep Dish Pizza — Lou Malnati's,Gastronomia,1h30,~$40-60 USD (casal),Não recomendado,"Pizza demora 45min · Butter Crust com Italian Sausage · Giordano's é o rival (stuffed pizza)"
Chicago,28/08 (Sex),Primeiro Dia,Noite,21:30 → 23:00,Skydeck — Willis Tower,Mirante,1h,~$32 USD/pessoa,Sim — online recomendado,"443m de altura · The Ledge (caixas de vidro) · Vista noturna impressionante · 108 andares"
,,,,,,,,,, 
Chicago,29/08 (Sáb),Dia Completo,Manhã,09:00 → 11:00,Architecture River Tour — ESSENCIAL,Tour de Barco,1h30,~$50 USD/pessoa,SIM — RESERVE COM ANTECEDÊNCIA,"Chicago Architecture Center · Guias arquitetos especializados · Leve casaco · Esgota nos sábados de agosto"
Chicago,29/08 (Sáb),Dia Completo,Manhã,11:30 → 14:30,Museum Campus — Shedd / Field / Adler (escolham um),Museu,3h,~$40-50 USD/pessoa,Sim — online recomendado,"Shedd Aquarium: golfinhos e baleias beluga · Field Museum: dinossauros · Adler: planetário · CityPASS tem desconto"
Chicago,29/08 (Sáb),Dia Completo,Tarde,15:00 → 17:00,Magnificent Mile — Michigan Avenue,Compras / Urbano,2h,Gratuito,Não,"Portillo's (100 W Ontario St): Italian beef + hot dog obrigatórios · Chicago Water Tower histórico"
Chicago,29/08 (Sáb),Dia Completo,Tarde,17:00 → 18:30,360 CHICAGO — John Hancock Center,Mirante,1h,~$30 USD/pessoa,Não,"94º andar · Tilt experience: +$25 USD · Melhor vista para Lake Michigan · Exatamente na Magnificent Mile"
Chicago,29/08 (Sáb),Dia Completo,Noite,19:00 → 21:30,Navy Pier & Centennial Wheel,Lazer,2h,Roda gigante $20 USD/pessoa,Não,"Pier de 1km no Lake Michigan · Fogos de artifício sábados às 21h30 em agosto · Cheguem às 21h para boa posição"
,,,,,,,,,, 
Chicago,30/08 (Dom),Último Dia,Manhã,09:00 → 11:30,Lincoln Park Zoo,Zoo / Lazer,2h,Gratuito,Não,"Um dos poucos zoos gratuitos dos EUA · Lincoln Park: vista do skyline pelo lago · Gorilas e cheetahs"
Chicago,30/08 (Dom),Último Dia,Manhã,12:00 → 13:30,Starbucks Reserve Roastery (maior do mundo),Café,1h30,~$15-25 USD/pessoa,Não,"646 N Michigan Ave · 5 andares · Torrefação ao vivo · Cocktails de café · Visita guiada pela torrefadora"
Chicago,30/08 (Dom),Último Dia,Tarde,14:00 → 17:00,Wicker Park,Bairro / Compras,2-3h,Gratuito,Não,"Dove's Luncheonette: brunch tex-mex (sem reserva) · Reckless Records: discos · Vintage shops"
Chicago,30/08 (Dom),Último Dia,Jantar,19:00 → 21:00,Bavette's Bar & Boeuf — Jantar de Despedida,Jantar Fine Dining,2h,~$80-120 USD/pessoa,SIM — OBRIGATÓRIA (OpenTable/Resy),"Art-déco estilo speakeasy · Côte de boeuf para dois · Voo amanhã às 21:20 — aproveitem esta noite!"
Chicago,30/08 (Dom),Último Dia,Noite,21:30 → 23:30,Buddy Guy's Legends — Blues Club,Música / Blues,2h,~$20-30 USD/pessoa (cover),Não (compre online),"700 S Wabash Ave · Shows ~21h30-22h · Cheguem às 21h para mesa boa · O blues mais autêntico de Chicago"
,,,,,,,,,, 
Chicago,31/08 (Seg),Partida,Manhã/Tarde,12:00 → 17:00,Check-out + Almoço de despedida,Saída,—,—,Não,"Última pizza ou Portillo's · Transfer para ORD a partir das 15h · Check-in recomendado às 17h30"
Chicago,31/08 (Seg),Partida,Noite,21:20 →,Voo ORD → GRU (United UA845),Voo de volta,10h,Incluso,Não,"Boeing 787-10 · Econômico · Chegada Guarulhos 01/09 às 09:30 → LIRABUS 10h30 ou transfer Campinas"
